Calculated Thread: 0,   Block: 0,       Warp 0, Thread 0
Calculated Thread: 1,   Block: 0,       Warp 0, Thread 1
Calculated Thread: 2,   Block: 0,       Warp 0, Thread 2
Calculated Thread: 3,   Block: 0,       Warp 0, Thread 3
Calculated Thread: 4,   Block: 0,       Warp 0, Thread 4
Calculated Thread: 5,   Block: 0,       Warp 0, Thread 5
Calculated Thread: 6,   Block: 0,       Warp 0, Thread 6
Calculated Thread: 7,   Block: 0,       Warp 0, Thread 7
Calculated Thread: 8,   Block: 0,       Warp 0, Thread 8
Calculated Thread: 9,   Block: 0,       Warp 0, Thread 9
Calculated Thread: 10,  Block: 0,       Warp 0, Thread 10
Calculated Thread: 11,  Block: 0,       Warp 0, Thread 11
Calculated Thread: 12,  Block: 0,       Warp 0, Thread 12
Calculated Thread: 13,  Block: 0,       Warp 0, Thread 13
Calculated Thread: 14,  Block: 0,       Warp 0, Thread 14
Calculated Thread: 15,  Block: 0,       Warp 0, Thread 15
Calculated Thread: 16,  Block: 0,       Warp 0, Thread 16
Calculated Thread: 17,  Block: 0,       Warp 0, Thread 17
Calculated Thread: 18,  Block: 0,       Warp 0, Thread 18
Calculated Thread: 19,  Block: 0,       Warp 0, Thread 19
Calculated Thread: 20,  Block: 0,       Warp 0, Thread 20
Calculated Thread: 21,  Block: 0,       Warp 0, Thread 21
Calculated Thread: 22,  Block: 0,       Warp 0, Thread 22
Calculated Thread: 23,  Block: 0,       Warp 0, Thread 23
Calculated Thread: 24,  Block: 0,       Warp 0, Thread 24
Calculated Thread: 25,  Block: 0,       Warp 0, Thread 25
Calculated Thread: 26,  Block: 0,       Warp 0, Thread 26
Calculated Thread: 27,  Block: 0,       Warp 0, Thread 27
Calculated Thread: 28,  Block: 0,       Warp 0, Thread 28
Calculated Thread: 29,  Block: 0,       Warp 0, Thread 29
Calculated Thread: 30,  Block: 0,       Warp 0, Thread 30
Calculated Thread: 31,  Block: 0,       Warp 0, Thread 31
Calculated Thread: 32,  Block: 0,       Warp 1, Thread 32
Calculated Thread: 33,  Block: 0,       Warp 1, Thread 33
Calculated Thread: 34,  Block: 0,       Warp 1, Thread 34
Calculated Thread: 35,  Block: 0,       Warp 1, Thread 35
Calculated Thread: 36,  Block: 0,       Warp 1, Thread 36
Calculated Thread: 37,  Block: 0,       Warp 1, Thread 37
Calculated Thread: 38,  Block: 0,       Warp 1, Thread 38
Calculated Thread: 39,  Block: 0,       Warp 1, Thread 39
Calculated Thread: 40,  Block: 0,       Warp 1, Thread 40
Calculated Thread: 41,  Block: 0,       Warp 1, Thread 41
Calculated Thread: 42,  Block: 0,       Warp 1, Thread 42
Calculated Thread: 43,  Block: 0,       Warp 1, Thread 43
Calculated Thread: 44,  Block: 0,       Warp 1, Thread 44
Calculated Thread: 45,  Block: 0,       Warp 1, Thread 45
Calculated Thread: 46,  Block: 0,       Warp 1, Thread 46
Calculated Thread: 47,  Block: 0,       Warp 1, Thread 47
Calculated Thread: 48,  Block: 0,       Warp 1, Thread 48
Calculated Thread: 49,  Block: 0,       Warp 1, Thread 49
Calculated Thread: 50,  Block: 0,       Warp 1, Thread 50
Calculated Thread: 51,  Block: 0,       Warp 1, Thread 51
Calculated Thread: 52,  Block: 0,       Warp 1, Thread 52
Calculated Thread: 53,  Block: 0,       Warp 1, Thread 53
Calculated Thread: 54,  Block: 0,       Warp 1, Thread 54
Calculated Thread: 55,  Block: 0,       Warp 1, Thread 55
Calculated Thread: 56,  Block: 0,       Warp 1, Thread 56
Calculated Thread: 57,  Block: 0,       Warp 1, Thread 57
Calculated Thread: 58,  Block: 0,       Warp 1, Thread 58
Calculated Thread: 59,  Block: 0,       Warp 1, Thread 59
Calculated Thread: 60,  Block: 0,       Warp 1, Thread 60
Calculated Thread: 61,  Block: 0,       Warp 1, Thread 61
Calculated Thread: 62,  Block: 0,       Warp 1, Thread 62
Calculated Thread: 63,  Block: 0,       Warp 1, Thread 63
Calculated Thread: 64,  Block: 1,       Warp 0, Thread 0
Calculated Thread: 65,  Block: 1,       Warp 0, Thread 1
Calculated Thread: 66,  Block: 1,       Warp 0, Thread 2
Calculated Thread: 67,  Block: 1,       Warp 0, Thread 3
Calculated Thread: 68,  Block: 1,       Warp 0, Thread 4
Calculated Thread: 69,  Block: 1,       Warp 0, Thread 5
Calculated Thread: 70,  Block: 1,       Warp 0, Thread 6
Calculated Thread: 71,  Block: 1,       Warp 0, Thread 7
Calculated Thread: 72,  Block: 1,       Warp 0, Thread 8
Calculated Thread: 73,  Block: 1,       Warp 0, Thread 9
Calculated Thread: 74,  Block: 1,       Warp 0, Thread 10
Calculated Thread: 75,  Block: 1,       Warp 0, Thread 11
Calculated Thread: 76,  Block: 1,       Warp 0, Thread 12
Calculated Thread: 77,  Block: 1,       Warp 0, Thread 13
Calculated Thread: 78,  Block: 1,       Warp 0, Thread 14
Calculated Thread: 79,  Block: 1,       Warp 0, Thread 15
Calculated Thread: 80,  Block: 1,       Warp 0, Thread 16
Calculated Thread: 81,  Block: 1,       Warp 0, Thread 17
Calculated Thread: 82,  Block: 1,       Warp 0, Thread 18
Calculated Thread: 83,  Block: 1,       Warp 0, Thread 19
Calculated Thread: 84,  Block: 1,       Warp 0, Thread 20
Calculated Thread: 85,  Block: 1,       Warp 0, Thread 21
Calculated Thread: 86,  Block: 1,       Warp 0, Thread 22
Calculated Thread: 87,  Block: 1,       Warp 0, Thread 23
Calculated Thread: 88,  Block: 1,       Warp 0, Thread 24
Calculated Thread: 89,  Block: 1,       Warp 0, Thread 25
Calculated Thread: 90,  Block: 1,       Warp 0, Thread 26
Calculated Thread: 91,  Block: 1,       Warp 0, Thread 27
Calculated Thread: 92,  Block: 1,       Warp 0, Thread 28
Calculated Thread: 93,  Block: 1,       Warp 0, Thread 29
Calculated Thread: 94,  Block: 1,       Warp 0, Thread 30
Calculated Thread: 95,  Block: 1,       Warp 0, Thread 31
Calculated Thread: 96,  Block: 1,       Warp 1, Thread 32
Calculated Thread: 97,  Block: 1,       Warp 1, Thread 33
Calculated Thread: 98,  Block: 1,       Warp 1, Thread 34
Calculated Thread: 99,  Block: 1,       Warp 1, Thread 35
Calculated Thread: 100, Block: 1,       Warp 1, Thread 36
